feature,global_rho,global_p,species_n,mean_rho,median_rho,mean_abs_rho,consistent_species,feature_family
clahe_center_lab_b_p99,-0.1264388186291367,4.1406119008673746e-17,8,-0.10423375792744381,-0.1432920311481067,0.12653919621561222,6,clahe_center
clahe_center_lab_b_p90_p10,0.05892933580366869,9.353859217058476e-05,8,0.07634500327559476,0.08131709481485552,0.12479789624938958,5,clahe_center
clahe_center_hsv_v_mean,0.022247026093558154,0.14053935409026747,8,0.01096631007733221,0.026400773617500317,0.1229279484353909,5,clahe_center
clahe_center_gray_mean,0.018635071671151054,0.21703120274653534,8,0.028458197662498234,0.053057283989591066,0.12164460704014668,5,clahe_center
clahe_center_lab_l_mean,0.009766504789128615,0.5176764780759687,8,0.019868841159909004,0.044558180885548804,0.11903363115449916,5,clahe_center
clahe_center_lab_b_gloss_p99_p90,-0.037992117638921644,0.011821158476673933,8,0.0030557486259543687,-4.010600221978147e-05,0.11818206693443777,4,clahe_center
clahe_center_hsv_v_gloss_p99_p90,-0.017760795741973586,0.23938073409152658,8,-0.016066005210976734,-0.06324970337688171,0.11750235315749066,5,clahe_center
clahe_center_lab_a_gloss_p99_p90,-0.024364694457449976,0.10650286087223267,8,-0.028974947588404153,-0.04907313981631334,0.09731731037887299,5,clahe_center
clahe_center_lab_a_std,-0.0001703391308629788,0.9909976925055286,8,0.0077249469649070986,0.028970199980049842,0.09689665437924344,2,clahe_center
clahe_center_lab_b_std,0.012286795936482726,0.4157102340470219,8,0.03417506870131181,0.015032821560032432,0.08981721424374574,5,clahe_center
raw_full_hsv_s_std,-0.18239167711021603,3.7999451581893136e-34,8,-0.1827698671377001,-0.18311860125873064,0.21981963780760874,7,raw_full
raw_full_lab_l_std,0.21356534231769023,1.851958361243049e-46,8,0.21190140257877263,0.26166589947703656,0.21190140257877263,8,raw_full
raw_full_lab_b_skew,-0.16929858470511522,1.3786050190464923e-29,8,-0.17169447109328534,-0.2340013102638277,0.20994223532954925,6,raw_full
raw_full_hsv_s_p99,-0.16244926089548167,2.418062453123769e-27,8,-0.1548401528625727,-0.1691138838367206,0.207653723772855,7,raw_full
raw_full_lab_b_mean,-0.13725277814450804,6.562607101465751e-20,8,-0.15190871005136483,-0.09956938410057578,0.20488745673023795,6,raw_full
raw_full_gray_std,0.20279840027638843,5.689605321604081e-42,8,0.20314954184842976,0.25372275727613325,0.20314954184842976,8,raw_full
raw_full_hsv_s_p90_p10,-0.1694509201160506,1.2258376499019717e-29,8,-0.17652880400705023,-0.16797006636199383,0.20227028480986142,7,raw_full
raw_full_lab_b_p90,-0.17766121343437405,1.8548150490658952e-32,8,-0.16162380591641998,-0.13456710850898315,0.20002242775256357,6,raw_full
